June 2024 (High SNR),,,,,,
Name,Symbol,Open,Close,Change,Percent,SNR
DaVita Inc.,DVA,146.27,138.57,-7.7,-5.3%,-28%
Invesco,IVZ,15.81,14.96,-0.85,-5.4%,-15%
Weyerhaeuser,WY,30,28.39,-1.61,-5.4%,-29%
CMS Energy,CMS,62.93,59.53,-3.4,-5.4%,-35%
Consolidated Edison,ED,94.55,89.42,-5.13,-5.4%,-54%
CoStar Group,CSGP,78.49,74.14,-4.35,-5.5%,-22%
Chubb Limited,CB,270,255.08,-14.92,-5.5%,-32%
PPL Corporation,PPL,29.3,27.65,-1.65,-5.6%,-48%
Waters Corporation,WAT,307.78,290.12,-17.66,-5.7%,-47%
Huntington Bancshares,HBAN,13.99,13.18,-0.81,-5.8%,-16%
TransDigm Group,TDG,1356.98,1277.61,-79.37,-5.8%,-19%
Nucor,NUE,167.88,158.08,-9.8,-5.8%,-23%
American International Group,AIG,78.77,74.24,-4.53,-5.8%,-34%
PG&E Corporation,PCG,18.53,17.46,-1.07,-5.8%,-45%
Pentair,PNR,81.58,76.67,-4.91,-6.0%,-13%
Franklin Templeton,BEN,23.78,22.35,-1.43,-6.0%,-20%
FMC Corporation,FMC,61.26,57.55,-3.71,-6.1%,-14%
Align Technology,ALGN,257.21,241.43,-15.78,-6.1%,-15%
Eaton Corporation,ETN,334,313.55,-20.45,-6.1%,-18%
Edison International,EIX,76.58,71.81,-4.77,-6.2%,-49%
Wynn Resorts,WYNN,95.5,89.5,-6,-6.3%,-35%
RTX Corporation,RTX,107.24,100.39,-6.85,-6.4%,-41%
PulteGroup,PHM,117.79,110.1,-7.69,-6.5%,-18%
Microchip Technology,MCHP,97.89,91.5,-6.39,-6.5%,-21%
Ralph Lauren Corporation,RL,187.2,175.06,-12.14,-6.5%,-31%
CF Industries,CF,79.36,74.12,-5.24,-6.6%,-18%
Lennar,LEN,160.49,149.87,-10.62,-6.6%,-23%
Hubbell Incorporated,HUBB,391.86,365.48,-26.38,-6.7%,-18%
Mosaic Company (The),MOS,31,28.9,-2.1,-6.8%,-17%
Coterra,CTRA,28.63,26.67,-1.96,-6.8%,-22%
Molson Coors Beverage Company,TAP,54.59,50.83,-3.76,-6.9%,-42%
Hershey's,HSY,197.59,183.83,-13.76,-7.0%,-29%
Wabtec,WAB,170,158.05,-11.95,-7.0%,-39%
Constellation Energy,CEG,215.5,200.27,-15.23,-7.1%,-14%
Centene Corporation,CNC,71.4,66.3,-5.1,-7.1%,-43%
WestRock,WRK,54.21,50.26,-3.95,-7.3%,-23%
ON Semiconductor,ON,74.01,68.55,-5.46,-7.4%,-15%
Mohawk Industries,MHK,122.68,113.59,-9.09,-7.4%,-20%
Interpublic Group of Companies (The),IPG,31.43,29.09,-2.34,-7.4%,-52%
CooperCompanies,COO,94.33,87.3,-7.03,-7.5%,-53%
Etsy,ETSY,63.84,58.98,-4.86,-7.6%,-18%
Henry Schein,HSIC,69.39,64.1,-5.29,-7.6%,-33%
Delta Air Lines,DAL,51.45,47.44,-4.01,-7.8%,-24%
Dow Inc.,DOW,57.55,53.05,-4.5,-7.8%,-39%
Exelon,EXC,37.55,34.61,-2.94,-7.8%,-60%
ResMed,RMD,207.84,191.42,-16.42,-7.9%,-15%
PayPal,PYPL,63.04,58.03,-5.01,-7.9%,-23%
General Mills,GIS,68.69,63.26,-5.43,-7.9%,-24%
Johnson Controls,JCI,72.21,66.47,-5.74,-7.9%,-38%
Halliburton,HAL,36.7,33.78,-2.92,-8.0%,-24%
Bio-Techne,TECH,77.89,71.65,-6.24,-8.0%,-41%
Freeport-McMoRan,FCX,53.15,48.6,-4.55,-8.6%,-19%
Quanta Services,PWR,278.27,254.09,-24.18,-8.7%,-24%
Stanley Black & Decker,SWK,87.63,79.89,-7.74,-8.8%,-21%
Jabil,JBL,119.4,108.79,-10.61,-8.9%,-15%
Kraft Heinz,KHC,35.37,32.22,-3.15,-8.9%,-44%
Dominion Energy,D,53.81,49,-4.81,-8.9%,-65%
United Airlines Holdings,UAL,53.5,48.66,-4.84,-9.0%,-25%
Howmet Aerospace,HWM,85.29,77.63,-7.66,-9.0%,-31%
Dollar Tree,DLTR,117.82,106.77,-11.05,-9.4%,-32%
BorgWarner,BWA,35.71,32.24,-3.47,-9.7%,-35%
NextEra Energy,NEE,79.5,70.81,-8.69,-10.9%,-32%
Solventum,SOLV,59.34,52.88,-6.46,-10.9%,-41%
Generac,GNRC,148.98,132.22,-16.76,-11.2%,-28%
Celanese,CE,152.5,134.89,-17.61,-11.5%,-49%
Deckers Brands,DECK,1093.85,967.95,-125.9,-11.5%,-53%
EQT Corporation,EQT,41.9,36.98,-4.92,-11.7%,-44%
Warner Bros. Discovery,WBD,8.46,7.44,-1.02,-12.1%,-31%
Ball Corporation,BALL,69.03,60.02,-9.01,-13.1%,-45%
Vistra,VST,99.87,85.98,-13.89,-13.9%,-30%
Builders FirstSource,BLDR,161.5,138.41,-23.09,-14.3%,-32%
Estée Lauder Companies (The),EL,124.83,106.4,-18.43,-14.8%,-53%
Moderna,MRNA,139.75,118.75,-21,-15.0%,-40%
Pool Corporation,POOL,364.29,307.33,-56.96,-15.6%,-38%
Aptiv,APTV,83.49,70.42,-13.07,-15.7%,-30%
First Solar,FSLR,273.26,225.46,-47.8,-17.5%,-26%
Paramount Global,PARA,12.85,10.39,-2.46,-19.1%,-25%
AES Corporation,AES,21.82,17.57,-4.25,-19.5%,-55%
"Nike, Inc.",NKE,94.52,75.37,-19.15,-20.3%,-23%
Albemarle Corporation,ALB,124.84,95.52,-29.32,-23.5%,-59%
Enphase,ENPH,131.21,99.71,-31.5,-24.0%,-40%
"Bath & Body Works, Inc.",BBWI,52.09,39.05,-13.04,-25.0%,-51%
Walgreens Boots Alliance,WBA,16.26,12.1,-4.16,-25.6%,-24%
