sym,open,close,change,percent,snr,flow
CE,141.48,130.6,-10.88,-0.077,-0.21,2545261868
SWK,105.49,102.36,-3.13,-0.03,-0.1,2539216690
BG,105.97,101.38,-4.59,-0.043,-0.13,2538550590
CHK,76.8,74.49,-2.31,-0.03,-0.09,2531578013
INCY,65.2,65.66,0.46,0.007,-0.04,2529115988
TROW,113.93,106.04,-7.89,-0.069,-0.23,2522285295
OLLI,98.18,89.56,-8.62,-0.088,-0.18,2521838261
FE,42.19,43.92,1.73,0.041,0.35,2521159636
M,17.39,15.57,-1.82,-0.105,-0.12,2513562273
MAS,78.07,79.56,1.49,0.019,0.04,2512317918
WY,31.89,30.49,-1.4,-0.044,-0.21,2508897225
SHAK,103.27,99.41,-3.86,-0.037,0.14,2506248183
UAA,6.95,7.69,0.74,0.106,0.11,2505704737
USFD,54.59,59.21,4.62,0.085,0.24,2487415994
BEN,22.98,20.24,-2.74,-0.119,-0.23,2454042276
WAT,340.28,346.35,6.07,0.018,0.04,2448864269
MKC,77.13,80.03,2.9,0.038,0.22,2448694660
EVRG,58.16,59.14,0.98,0.017,0.1,2442342992
TYL,566.64,587.87,21.23,0.037,0.27,2439608559
LDOS,145.23,158.51,13.28,0.091,0.53,2438258013
FIX,333.25,353.52,20.27,0.061,0.12,2432935069
DGX,142.86,156.97,14.11,0.099,0.47,2393860265
TFX,226.73,245.17,18.44,0.081,0.29,2380107726
DVA,136.72,150.92,14.2,0.104,0.39,2378520114
LITE,52.12,57.61,5.49,0.105,0.1,2355402738
INSP,141.82,179.82,38,0.268,0.24,2353168165
FWONK,80.85,78.05,-2.8,-0.035,-0.11,2339604105
PKG,200.19,209.54,9.35,0.047,0.22,2337403237
SKX,64.9,68.48,3.58,0.055,0.1,2332759155
DTE,121.07,125.02,3.95,0.033,0.18,2316196671
POOL,372.91,351.62,-21.29,-0.057,-0.22,2314870336
IEX,205.49,206.48,0.99,0.005,-0.05,2314504906
MKSI,123.46,119.23,-4.23,-0.034,-0.08,2309329851
BRO,100.04,105.13,5.09,0.051,0.33,2306190825
WCC,161.79,165.38,3.59,0.022,-0.12,2301033304
TXRH,175.18,168.75,-6.43,-0.037,-0.11,2290485022
COO,93.31,105.73,12.42,0.133,0.24,2282138532
SWN,6.48,6.38,-0.1,-0.015,-0.05,2282057203
H,146.35,151.92,5.57,0.038,0.06,2272713931
STE,240.24,241.1,0.86,0.004,0.05,2268933838
ARE,118.45,119.57,1.12,0.009,0.02,2268340898
CPT,112.37,125.2,12.83,0.114,0.46,2262798277
CTLT,59.54,60.96,1.42,0.024,0.24,2254059467
EPAM,216.74,200.76,-15.98,-0.074,-0.12,2236017889
FL,29.16,31.14,1.98,0.068,0.08,2226447316
IBKR,120,128.89,8.89,0.074,0.15,2222290398
AEE,79.26,82.51,3.25,0.041,0.23,2219815381
PCTY,150.59,161.4,10.81,0.072,0.24,2213060841
HRB,58.04,63.31,5.27,0.091,0.13,2202072426
JBLU,6.41,5.08,-1.33,-0.207,-0.2,2195684608
GPC,147.62,143.26,-4.36,-0.03,-0.14,2191705291
FOXA,38.26,41.37,3.11,0.081,0.25,2185573625
KBH,86.55,83.71,-2.84,-0.033,-0.08,2159343743
ESS,280.3,301.79,21.49,0.077,0.38,2158799873
GTLS,159.78,122.4,-37.38,-0.234,-0.24,2157785299
AEO,22.07,20.58,-1.49,-0.068,-0.13,2153098415
BAH,143.31,158.78,15.47,0.108,0.68,2145928828
ALLY,44.89,43.19,-1.7,-0.038,-0.1,2132206997
WMS,177.48,156.76,-20.72,-0.117,-0.22,2124765023
JNPR,37.82,38.88,1.06,0.028,0.49,2102017916
TAP,53.07,53.97,0.9,0.017,0.05,2090866843
ACM,90.65,100.14,9.49,0.105,0.26,2090254909
INVH,35.59,36.84,1.25,0.035,0.22,2088850751
HEI,241.72,256.56,14.84,0.061,0.16,2085577666
RS,304.94,286.65,-18.29,-0.06,-0.25,2084582327
PNR,87.82,88.69,0.87,0.01,-0.01,2080336471
ATO,128.48,130.74,2.26,0.018,0.15,2074250488
MEDP,383.57,355.27,-28.3,-0.074,-0.2,2066801305
WSO,488.07,475.42,-12.65,-0.026,-0.12,2053143806
DOC,22.04,22.28,0.24,0.011,0.06,2051678878
PEN,168.73,202.32,33.59,0.199,0.37,2043654927
KNX,54.83,52.38,-2.45,-0.045,-0.12,2030159675
CMA,54.38,57.11,2.73,0.05,0.11,2024240600
EVH,23.13,31.98,8.85,0.383,0.21,2023052568
PFG,81.64,81.42,-0.22,-0.003,-0.02,2015678429
AVY,216.78,221.85,5.07,0.023,0.09,1997507836
TREX,84.17,63.74,-20.43,-0.243,-0.24,1983538012
URBN,45.88,36.32,-9.56,-0.208,-0.35,1979021166
RIG,5.76,4.74,-1.02,-0.177,-0.4,1973701033
SEDG,29.04,24.33,-4.71,-0.162,-0.14,1970355484
IPG,32.16,32.61,0.45,0.014,0.05,1966627521
MOS,29.68,28.57,-1.11,-0.037,-0.11,1957098909
MHK,161.85,155.14,-6.71,-0.041,-0.12,1955146492
FRPT,121.79,136,14.21,0.117,0.26,1953754758
AR,29.56,26.99,-2.57,-0.087,-0.16,1946894951
NTRS,88.66,91.21,2.55,0.029,0.07,1943080048
DOCU,55.44,59.21,3.77,0.068,0.13,1941606016
RGA,226.68,220.76,-5.92,-0.026,-0.06,1929307532
GWRE,150.39,148.77,-1.62,-0.011,-0.04,1924054083
VNO,30.33,34.37,4.04,0.133,0.2,1911890697
CCK,88.65,90.41,1.76,0.02,0.09,1902214648
SCI,73,78.27,5.27,0.072,-0.05,1899214492
FMC,63.35,64.58,1.23,0.019,0.16,1887786202
BOOT,133.76,134.17,0.41,0.003,0.02,1874775913
FDS,412.75,422.84,10.09,0.024,0.1,1866207326
LNTH,104.84,106.47,1.63,0.016,0.13,1863064460
UDR,40.52,44.51,3.99,0.098,0.65,1844428345
JKHY,171.4,173.03,1.63,0.01,0.02,1837421475
KIM,22.25,23.26,1.01,0.045,0.27,1831157860
PBF,39.52,34.06,-5.46,-0.138,-0.34,1830634999
DAR,39.6,41.73,2.13,0.054,0.07,1823239752
MKTX,222.84,242.39,19.55,0.088,0.22,1818179835
FFIV,203.5,203.15,-0.35,-0.002,-0,1802488372
LAD,302.51,301.08,-1.43,-0.005,0.16,1785129190
MIDD,139.55,140.62,1.07,0.008,0.1,1774467668
XRAY,27.26,25.29,-1.97,-0.072,-0.12,1772654502
OLED,221.32,193.72,-27.6,-0.125,-0.13,1768128684
DBX,23.95,25.14,1.19,0.05,0.1,1766111950
ALLE,136.6,138.84,2.24,0.016,-0.01,1763363699
AGCO,94.32,91.04,-3.28,-0.035,-0.14,1759425250
NLY,19.99,20.16,0.17,0.009,0.01,1750857213
TGTX,19.68,23.49,3.81,0.194,0.16,1750069000
SUI,126.61,135.24,8.63,0.068,0.23,1749017812
EQH,43.43,42.52,-0.91,-0.021,-0.06,1743503688
MANH,255.38,264.43,9.05,0.035,0.1,1737878101
MTZ,110,113.13,3.13,0.028,0.03,1733380448
HALO,55.52,63.85,8.33,0.15,0.41,1729153202
CASY,389.01,362.31,-26.7,-0.069,-0.27,1729102193
GH,35.78,25.58,-10.2,-0.285,-0.38,1720362400
PVH,102.5,98.69,-3.81,-0.037,-0.08,1717703791
SM,46.12,45.63,-0.49,-0.011,-0.03,1708809857
BECN,102.19,90.6,-11.59,-0.113,-0.16,1704640904
AMH,36.35,39.77,3.42,0.094,0.48,1704441833
CW,295.52,315.86,20.34,0.069,0.14,1702946247
WRB,55.38,59.7,4.32,0.078,0.59,1697783241
ALK,37.74,36.11,-1.63,-0.043,-0.11,1696090389
FTI,29.34,26.84,-2.5,-0.085,-0.21,1695661834
RMBS,50.88,44.72,-6.16,-0.121,-0.18,1692032705
MUSA,493.4,519.63,26.23,0.053,0.1,1691726719
JLL,252.08,255.23,3.15,0.012,0.03,1681317372
ADC,69.59,73.01,3.42,0.049,0.35,1678892616
GEN,25.93,26.46,0.53,0.02,0.06,1669575328
PFGC,69.25,74.64,5.39,0.078,0.16,1659073465
IDCC,130,138.56,8.56,0.066,0.26,1657970314
MASI,106.13,117.52,11.39,0.107,0.15,1655111120
CNK,23.58,27.38,3.8,0.161,0.44,1649193896
GMED,71.57,72.7,1.13,0.016,0.02,1643579021
BXP,72.37,75.22,2.85,0.039,0.13,1640610535
IOVA,8.86,11.66,2.8,0.316,0.21,1639504394
NDSN,249.18,256.56,7.38,0.03,0.07,1636970855
BWA,35.33,34.07,-1.26,-0.036,-0.13,1635315953
WHR,101.9,100.29,-1.61,-0.016,-0.05,1634513444
PLUG,2.47,1.88,-0.59,-0.239,-0.33,1631179392
TDY,422.42,432.8,10.38,0.025,0.07,1620435799
EMN,103.5,102.37,-1.13,-0.011,-0.05,1616188539
FIVN,44.33,32.25,-12.08,-0.273,-0.23,1614870297
BRKR,67.98,67.19,-0.79,-0.012,-0.06,1608003450
CIEN,52.75,57.65,4.9,0.093,0.13,1604004021
ROL,47.89,50.18,2.29,0.048,0.25,1599171531
CRS,146.98,144.77,-2.21,-0.015,-0.02,1598468898
CRI,60.51,65.9,5.39,0.089,0.2,1597339489
NWSA,27.73,28.33,0.6,0.022,0.07,1597252860
MDGL,283.89,247.13,-36.76,-0.129,-0.21,1592350276
ZION,51.62,49.56,-2.06,-0.04,-0.1,1589390665
ALV,101.23,102.47,1.24,0.012,0.04,1586174106
TECH,81.92,73.99,-7.93,-0.097,-0.23,1580253964
FRT,112.51,115,2.49,0.022,0.13,1580210171
TRMB,54.54,56.69,2.15,0.039,0.09,1579812812
RNR,233.92,254.79,20.87,0.089,0.48,1576559720
VAL,81.89,61.06,-20.83,-0.254,-0.39,1575983469
ACHC,69.26,81.93,12.67,0.183,0.42,1571385450
WAL,80.07,81.68,1.61,0.02,0.01,1570924690
HAS,64.35,68.16,3.81,0.059,0.17,1569295907
MOD,116.82,121.55,4.73,0.04,0.05,1568138981
HII,283.2,282.77,-0.43,-0.002,0.02,1567689003
REG,67.7,72.69,4.99,0.074,0.37,1562897884
MTH,203.46,198.07,-5.39,-0.026,-0.07,1561194064
BIO,339.14,337.32,-1.82,-0.005,-0.02,1556427536
TXT,92.84,91.2,-1.64,-0.018,-0.08,1556074526
SSNC,72.92,75.09,2.17,0.03,0.1,1552612252
ELS,69.22,72.71,3.49,0.05,0.25,1533302366
WSC,40.79,38.54,-2.25,-0.055,-0.1,1529576014
ACLS,113.74,109.33,-4.41,-0.039,-0.18,1527533529
ARMK,34.35,36.63,2.28,0.066,0.23,1521951638
PNW,85.99,87.52,1.53,0.018,0.13,1517388640
WWD,156.22,166.65,10.43,0.067,0.25,1512209147
RHI,64.15,62.67,-1.48,-0.023,-0.11,1508611218
CYTK,58.95,57.08,-1.87,-0.032,-0.1,1508280202
MTDR,61.39,56.72,-4.67,-0.076,-0.14,1507407140
ELAN,13.11,15.47,2.36,0.18,0.29,1505552098
CRUS,129.25,145.69,16.44,0.127,0.15,1503903025
PSN,90.64,95.46,4.82,0.053,0.39,1503488960
BPMC,106.51,95.54,-10.97,-0.103,-0.28,1503462859
RPM,121.09,116.25,-4.84,-0.04,-0.19,1484907279
DY,185,175.96,-9.04,-0.049,-0.08,1484543255
TPX,52.49,52.43,-0.06,-0.001,-0.01,1483524041
POWL,181.68,167.44,-14.24,-0.078,-0.08,1482105914
OHI,36.69,39.54,2.85,0.078,0.32,1481598710
JEF,58.59,59.95,1.36,0.023,0.05,1477227824
FHN,16.69,16.59,-0.1,-0.006,-0.03,1474848890
LNT,55.91,58.27,2.36,0.042,0.27,1470475887
YETI,41.45,40.32,-1.13,-0.027,-0.03,1468474224
TW,111.86,118.24,6.38,0.057,0.23,1463411882
AIZ,175.9,196.35,20.45,0.116,0.47,1461985522
MUR,41.36,37.28,-4.08,-0.099,-0.24,1456593693
TDW,97.6,88.7,-8.9,-0.091,-0.18,1455901276
CINF,131.25,137.03,5.78,0.044,0.32,1454617733
NE,47.03,38.15,-8.88,-0.189,-0.42,1449633147
IBP,252.99,222.31,-30.68,-0.121,-0.29,1444647443
GKOS,111.04,133.89,22.85,0.206,0.36,1439301703
TTEK,222.36,237.74,15.38,0.069,0.28,1437935406
ARCH,147.55,136.43,-11.12,-0.075,-0.13,1428351048
FLR,48,50.07,2.07,0.043,0.1,1427577198
SMTC,31.56,43.82,12.26,0.388,0.43,1427466845
HRL,32.2,32.55,0.35,0.011,0.06,1422016699
EVR,251.1,245.74,-5.36,-0.021,-0.06,1415773850
GLPI,50.47,52.02,1.55,0.031,0.15,1413401591
JAZZ,113.15,115.98,2.83,0.025,0.15,1409401670
HR,17.85,17.8,-0.05,-0.003,-0,1407740181
TNDM,36.9,43.5,6.6,0.179,0.15,1407723216
BOX,28.18,32.6,4.42,0.157,0.31,1407425472
ADMA,12.36,17.31,4.95,0.4,0.23,1406826238
BTU,23.81,23.41,-0.4,-0.017,0.12,1402907431
EXP,272.06,257.75,-14.31,-0.053,-0.13,1399038371
ATI,67.48,63.88,-3.6,-0.053,-0.11,1390801319
AOS,85.02,83.72,-1.3,-0.015,-0.1,1387565765
SEE,37.94,34.95,-2.99,-0.079,-0.14,1385665241
GT,11.17,8.82,-2.35,-0.21,-0.3,1382323610
PENN,20.11,18.62,-1.49,-0.074,-0.1,1381864897
NVAX,12.1,12.38,0.28,0.023,-0.06,1380111351
LRN,76.18,82.34,6.16,0.081,0.16,1375923908
IVZ,17.3,17.09,-0.21,-0.012,-0.04,1365709814
BFAM,120.39,140.72,20.33,0.169,0.31,1364963541
LPX,98.35,97.05,-1.3,-0.013,-0.03,1349404541
WLK,147.71,145.44,-2.27,-0.015,-0.03,1347374562
GTES,18.41,18.16,-0.25,-0.014,-0.03,1344624222
REXR,50.61,50.92,0.31,0.006,0.04,1344511630
EHC,92.95,93.05,0.1,0.001,-0.03,1342889170
NYCB,10.48,10.84,0.36,0.034,0.03,1341155513
LKQ,41.6,41.59,-0.01,-0,0.03,1337593388
RDFN,8.16,9.34,1.18,0.145,0.09,1335587009
SRCL,58.59,59.26,0.67,0.011,0.22,1326993121
KNSL,459.89,491.09,31.2,0.068,0.25,1325208855
VVV,46.45,42.2,-4.25,-0.091,-0.17,1322406572
COKE,1167.34,1342.4,175.06,0.15,0.32,1320454406
ITRI,106.2,102.22,-3.98,-0.037,-0.03,1316966388
TTC,95.63,92.6,-3.03,-0.032,-0.17,1316153807
HA,12.74,17.32,4.58,0.359,0.29,1306877573
SIG,83.4,84.1,0.7,0.008,-0.02,1298171560
DDS,398.59,338.97,-59.62,-0.15,-0.25,1297156971
LEA,122.31,116.65,-5.66,-0.046,-0.14,1295440775
JWN,22.98,22.34,-0.64,-0.028,-0.05,1290129545
SNA,286.58,283.74,-2.84,-0.01,-0.07,1285029352
AXTA,36.97,36.5,-0.47,-0.013,0.05,1283616475
CGNX,46,40.38,-5.62,-0.122,-0.2,1283099213
CNX,26.54,27.67,1.13,0.043,0.09,1282221267
SPR,36.28,35.21,-1.07,-0.029,-0.13,1273426490
QLYS,146.54,125.17,-21.37,-0.146,-0.34,1270858599
CLH,241.28,245.9,4.62,0.019,0.13,1269589258
PTEN,10.94,9.21,-1.73,-0.158,-0.28,1268424096
SNX,119.67,121.42,1.75,0.015,0.06,1267343032
EXEL,23.51,26.03,2.52,0.107,0.19,1253756171
CVLT,151.38,155.4,4.02,0.027,0.03,1253465319
CUBE,48.04,51.83,3.79,0.079,0.45,1246205732
WPC,58.66,60.02,1.36,0.023,0.08,1245787221
VRNS,54.85,56.6,1.75,0.032,0.04,1244765486
KEX,119.97,119.92,-0.05,-0,-0.06,1239522983
MTSI,99.11,109.23,10.12,0.102,0.18,1238764071
MPW,4.84,4.5,-0.34,-0.07,-0.15,1234390908
PZZA,44.35,47.37,3.02,0.068,0.15,1229267647
MTN,182,181.7,-0.3,-0.002,-0.03,1225733444
APLS,38,38.9,0.9,0.024,-0.04,1222461149
SMG,78.5,70.98,-7.52,-0.096,-0.24,1221590162
BRX,25.7,27.39,1.69,0.066,0.32,1218956147
AIT,217.5,205.12,-12.38,-0.057,-0.16,1216489533
WEX,183.57,191.02,7.45,0.041,0.12,1211084616
CAR,100.36,81.99,-18.37,-0.183,-0.27,1210076541
GGG,84.53,83.35,-1.18,-0.014,-0.11,1206988209
NNN,45.5,46.99,1.49,0.033,0.22,1196482907
RRC,31.33,29.88,-1.45,-0.046,-0.13,1195795125
UNM,57.77,55.49,-2.28,-0.039,-0.09,1194589005
BERY,65.77,68.86,3.09,0.047,0.15,1194577407
WEN,17.3,16.92,-0.38,-0.022,-0.06,1193271793
BE,13.59,11.91,-1.68,-0.124,-0.14,1192419263
ENV,62,62.75,0.75,0.012,0.2,1191608151
FNF,56.7,58.96,2.26,0.04,0.26,1175767512
HAE,89.93,75.58,-14.35,-0.16,-0.37,1172006916
ASPN,20.7,28.69,7.99,0.386,0.24,1169930833
AN,190.89,177.98,-12.91,-0.068,-0.12,1162863225
ST,39.01,38.55,-0.46,-0.012,-0.04,1161638681
ARW,131.7,135.08,3.38,0.026,0.29,1154869112
POST,109.36,115.77,6.41,0.059,0.33,1142841094
CEIX,101.98,102.28,0.3,0.003,0.04,1139147515
HOG,37.51,37.44,-0.07,-0.002,-0.02,1129545625
SITE,142.67,141.86,-0.81,-0.006,-0.07,1127708676
AZPN,187.88,234.14,46.26,0.246,0.23,1126065437
SIRI,3.49,3.29,-0.2,-0.057,-0.09,1123865493
COLD,30.11,29,-1.11,-0.037,-0.16,1113781572
MKL,1637.89,1600.68,-37.21,-0.023,-0.1,1111637551
WH,75.43,78.7,3.27,0.043,0.12,1111149781
AMC,5.3,4.82,-0.48,-0.091,-0.19,1109603285
RHP,104.87,103.96,-0.91,-0.009,0.06,1109174215
HL,5.8,5.93,0.13,0.022,0.04,1108252860
MGY,27.56,25.61,-1.95,-0.071,-0.12,1105746259
BYD,60.97,60.02,-0.95,-0.016,-0.05,1101311640
TMHC,67.46,67.33,-0.13,-0.002,-0.03,1095311892
LAMR,120.33,125.78,5.45,0.045,0.12,1092996003
DLB,78.72,71.36,-7.36,-0.093,-0.22,1090747536
ITT,142,139.22,-2.78,-0.02,-0.05,1089394342
GPK,30.08,29.93,-0.15,-0.005,-0.02,1088896991
IONS,49.88,47.68,-2.2,-0.044,-0.09,1087165064
NYT,54.18,54.93,0.75,0.014,0.07,1086146005
NOV,20.71,17.77,-2.94,-0.142,-0.33,1085760762
AVAV,179.59,203.76,24.17,0.135,0.19,1076063840
CHE,573.66,586.17,12.51,0.022,0.12,1075648430
CHH,127.19,127.59,0.4,0.003,-0.02,1074264739
PI,157.8,168.1,10.3,0.065,0.09,1072567079
CPRI,33.5,35.72,2.22,0.066,0.13,1061386363
TDOC,8.13,7.17,-0.96,-0.118,-0.39,1061291653
NSIT,221.69,217.07,-4.62,-0.021,-0.05,1060332729
PPC,43,46.58,3.58,0.083,0.36,1059152265
OLN,45.66,43.67,-1.99,-0.044,-0.14,1053523960
KRYS,208.77,195.12,-13.65,-0.065,-0.11,1051091195
HBI,5.94,6.35,0.41,0.069,0.06,1050062518
EGP,188.59,186.4,-2.19,-0.012,-0.05,1049616200
SNV,46.7,46.12,-0.58,-0.012,-0.04,1048961097
PETQ,21.9,30.55,8.65,0.395,0.19,1045830473
FR,55.27,56.73,1.46,0.026,0.09,1043781056
LBRDK,67.62,62.38,-5.24,-0.077,-0.31,1043486895
NOG,43.22,39.78,-3.44,-0.08,-0.13,1040577242
MLI,70.79,72.71,1.92,0.027,0.05,1021323300
BWXT,100,103,3,0.03,0.1,1017249197
AMKR,31.79,32.9,1.11,0.035,0.04,1016178026
RILY,19.45,4.92,-14.54,-0.747,-0.34,1015755438
VOYA,71.84,70.83,-1.01,-0.014,-0.11,1013734296
WU,11.91,12.2,0.29,0.024,0.06,1010974531
SMAR,47.98,48.8,0.82,0.017,0.05,998142006
RVNC,3.72,6.57,2.85,0.766,0.17,997883628
APDN,0.37,1.91,1.54,4.162,0.27,996395778
COTY,9.96,9.38,-0.58,-0.058,-0.14,995865831
BL,47.58,49.55,1.97,0.041,0.06,995775721
LNC,35.04,32.1,-2.94,-0.084,-0.06,994895115
ICUI,126.92,165.33,38.41,0.303,0.31,991287542
WBS,49.6,47.43,-2.17,-0.044,-0.09,986967321
L,80.39,81.94,1.55,0.019,0.12,984596153
EWBC,87.77,84.07,-3.7,-0.042,-0.11,983342961
NXST,186.01,170.88,-15.13,-0.081,-0.18,980089309
ITCI,78.69,73.28,-5.41,-0.069,-0.23,979632460
CBT,100.39,105.11,4.72,0.047,0.05,979513375
OZK,46.77,43.35,-3.42,-0.073,-0.19,977846816
LECO,206.73,193.61,-13.12,-0.063,-0.25,977545025
CFR,117.03,112.23,-4.8,-0.041,-0.14,976640541
SSB,99.01,97.09,-1.92,-0.019,-0.05,972966424
ASH,96.85,89.5,-7.35,-0.076,-0.17,970908751
TRNO,68.98,69.04,0.06,0.001,0.01,965646971
VSAT,20.11,15.7,-4.41,-0.219,-0.13,956821155
APPF,220,231.99,11.99,0.055,0.13,956346945
IRTC,86.33,70.88,-15.45,-0.179,-0.22,955908324
CACI,464.45,488.12,23.67,0.051,0.22,955471345
INGR,124.69,134.31,9.62,0.077,0.23,948561680
HQY,78.46,79.56,1.1,0.014,-0,948548745
OSK,109.52,107.91,-1.61,-0.015,-0.07,947024646
PII,83.12,84.65,1.53,0.018,-0,943527122
CDE,6.49,6.14,-0.35,-0.054,-0.06,943403245
HCC,68.92,61.31,-7.61,-0.11,-0.21,943036331
TWST,55.34,43.24,-12.1,-0.219,-0.24,941409547
VLY,8.38,8.68,0.3,0.036,0.06,941131712
PEGA,70.58,70.88,0.3,0.004,0,940136079
CTRE,27.1,29.88,2.78,0.103,0.6,939539408
G,34.67,39.23,4.56,0.132,0.18,938373230
OMF,51.79,49.41,-2.38,-0.046,-0.12,933184238
TENB,36.07,41.28,5.21,0.144,-0.16,931353828
RARE,45,56.78,11.78,0.262,0.44,925685029
GPI,365.72,376.76,11.04,0.03,0.09,924896071
ABR,13.55,13.6,0.05,0.004,0.01,922910738
UGI,24.78,24.91,0.13,0.005,0,920346433
KBR,66.57,69.36,2.79,0.042,0.17,919794477
HP,40.3,32.63,-7.67,-0.19,-0.4,919656672
SLG,67.88,66.64,-1.24,-0.018,-0.01,918309685
HE,16.52,10.73,-5.79,-0.35,-0.42,916917410
GERN,4.71,4.75,0.04,0.008,-0.02,911885083
ALSN,88.73,92.75,4.02,0.045,0.1,908338454
GNTX,30.98,31.33,0.35,0.011,0,908308648
MAT,19.3,18.98,-0.32,-0.017,-0.07,908227425
ALKS,27.15,28.45,1.3,0.048,0.12,907867176
CRK,9.49,10.63,1.14,0.12,0.11,906885621
HXL,66.12,63.29,-2.83,-0.043,-0.15,906642155
LSTR,190.85,182.56,-8.29,-0.043,-0.15,905301993
AYI,250.72,254.7,3.98,0.016,0.01,904663449
MSM,88.42,82.24,-6.18,-0.07,-0.28,904221282
MMS,92.54,92.26,-0.28,-0.003,-0.03,900702872
BC,81.34,79.05,-2.29,-0.028,-0.1,898954469
SBRA,16.28,17.04,0.76,0.047,0.2,896660613
EPRT,29.9,31.91,2.01,0.067,0.24,896172722
MMSI,84.81,96.68,11.87,0.14,0.64,894538851
RNG,34.8,33.33,-1.47,-0.042,-0.07,894481781
OGE,38.97,39.56,0.59,0.015,0.1,891690493
FAF,61.05,63.8,2.75,0.045,0.31,888847515
AM,14.55,14.87,0.32,0.022,0.07,888141308
RBC,293.15,297.85,4.7,0.016,0.03,882879937
AMN,64.02,53.03,-10.99,-0.172,-0.5,882690510
SKY,82,93.41,11.41,0.139,0.17,881302532
FTDR,42.68,48.08,5.4,0.127,0.3,880959194
EBS,12.74,8.31,-4.43,-0.348,-0.1,879303209
JHG,38.5,37.61,-0.89,-0.023,0.02,874957436
ABG,271.59,245.64,-25.95,-0.096,-0.13,873225922
TEX,63.27,56.77,-6.5,-0.103,-0.18,872349298
THO,106.19,107.26,1.07,0.01,0,868883785
ENSG,141.04,151.36,10.32,0.073,0.23,868773555
CRC,51.75,52.47,0.72,0.014,0.02,860294109
COLB,26.18,25.18,-1,-0.038,-0.1,859651979
ALTR,87.99,90.36,2.37,0.027,0.05,857812509
SON,51.89,56.57,4.68,0.09,0.12,857802525
MHO,168.03,159.37,-8.66,-0.052,-0.11,857425783
SF,88.75,88.14,-0.61,-0.007,-0.03,856016204
ATR,146.88,153.19,6.31,0.043,0.17,845700781
CHDN,143.91,138.97,-4.94,-0.034,-0.11,843716457
QTWO,70.44,74.21,3.77,0.054,0.16,841668058
AX,72.78,69.43,-3.35,-0.046,-0.09,840158669
ERIE,441.3,508.23,66.93,0.152,0.65,839546795
RGLD,138,140.17,2.17,0.016,0.04,838783067
BCC,141.72,135.62,-6.1,-0.043,-0.11,833850298
PRGO,28.48,29.1,0.62,0.022,0.09,832862406
QDEL,41.84,42.25,0.41,0.01,0.2,832533791
HGV,42.94,38.58,-4.36,-0.102,-0.17,828655334
TRIP,17.66,14.51,-3.15,-0.178,-0.26,825228055
PB,72.34,73.58,1.24,0.017,0.02,823100217
CAKE,38.75,39.31,0.56,0.014,0,820884607
GVA,70,75.16,5.16,0.074,0.36,820815376
PNFP,96.18,99.57,3.39,0.035,0.05,818427305
AAON,88.42,95.51,7.09,0.08,0.18,817158143
HLI,151.34,156.62,5.28,0.035,0.16,814055689
SPB,84.68,94.32,9.64,0.114,0.29,814009031
AXSM,87.61,88.86,1.25,0.014,0.05,811757068
VOXX,2.59,5.49,2.9,1.12,0.29,809934481
HUN,24,22.05,-1.95,-0.081,-0.21,809810951
BPOP,102.56,102.5,-0.06,-0.001,-0.03,805727122
FLS,50.3,49.88,-0.42,-0.008,-0.03,804352864
SUM,41.78,40.5,-1.28,-0.031,-0.07,804095995
MTG,25.6,25.43,-0.17,-0.007,0.05,802732518
MC,68.53,66.79,-1.74,-0.025,-0.06,796510236
FORM,53.68,48.77,-4.91,-0.091,-0.08,795698924
ETH,3,2.36,-0.64,-0.213,-0.2,795571006
ESGR,325.47,326,0.53,0.002,0.05,795350823
NWL,8.59,7.09,-1.5,-0.175,-0.43,794667224
SPXC,147.27,163.14,15.87,0.108,0.26,793010557
WHD,64.5,59.52,-4.98,-0.077,-0.17,791396611
FOX,35.64,38.43,2.79,0.078,0.26,790484741
HLNE,144.45,152.84,8.39,0.058,0.09,788632280
STRL,116.49,119.53,3.04,0.026,0.04,786269689
UMBF,102.76,103.59,0.83,0.008,0.01,786039718
UEC,5.88,5.23,-0.65,-0.111,-0.12,782602929
CDNA,26,30.73,4.73,0.182,0.36,780350543
TPH,45.6,44.44,-1.16,-0.025,-0.08,779114770
ZG,47.97,53.43,5.46,0.114,0.13,777679740
AL,49.64,46.27,-3.37,-0.068,-0.09,777644265
CMC,60.07,53.59,-6.48,-0.108,-0.28,777097764
POR,47.52,48.11,0.59,0.012,0.06,776843608
ACIW,48.25,50.36,2.11,0.044,0.28,776725179
STAA,40.94,33.09,-7.85,-0.192,-0.38,763397345
KRG,24.83,26.08,1.25,0.05,0.24,762546670
PK,15.15,15.28,0.13,0.009,0.02,762511739
MATX,133.29,138.3,5.01,0.038,0.1,762419446
STWD,20.02,20.84,0.82,0.041,0.16,759989399
VAC,78.21,74,-4.21,-0.054,-0.26,754156330
BCO,109.72,110.93,1.21,0.011,-0.02,751532922
SILK,27.05,27.11,0.06,0.002,0.05,750845861
POWI,71.77,67.1,-4.67,-0.065,-0.13,747180184
LFUS,265.34,272.2,6.86,0.026,0.04,746952518
AXS,75.86,79.88,4.02,0.053,0.14,746084456
CADE,32.86,32.28,-0.58,-0.018,-0.05,744951614
WTFC,108.13,108.8,0.67,0.006,-0.02,741776241
VGR,13.44,14.98,1.54,0.115,0.31,741686391
CBSH,64.42,63.96,-0.46,-0.007,-0.06,741607161
